trial_index,response,condition,tag,item,participant,age,gender,lang,amE
11,0.68,notbelieve,whynot,14,4,NA,f,TRUE,FALSE
14,0.62,thinknot,whynot,4,4,NA,f,TRUE,FALSE
17,0.65,notopinion,neither,6,4,NA,f,TRUE,FALSE
20,0.64,notview,whynot,12,4,NA,f,TRUE,FALSE
23,0.69,notimpression,whynot,5,4,NA,f,TRUE,FALSE
26,0.6,wrong,neither,7,4,NA,f,TRUE,FALSE
29,0.66,notfeeling,noteven,8,4,NA,f,TRUE,FALSE
32,0.68,asif,noteven,11,4,NA,f,TRUE,FALSE
35,0.61,lie,whynot,1,4,NA,f,TRUE,FALSE
38,0.71,disagree,neither,3,4,NA,f,TRUE,FALSE
41,0.65,rumor,noteven,15,4,NA,f,TRUE,FALSE
44,0.63,notthink,neither,9,4,NA,f,TRUE,FALSE
47,0.67,think,noteven,2,4,NA,f,TRUE,FALSE
50,0.63,doubt,noteven,13,4,NA,f,TRUE,FALSE
53,0.69,like,neither,10,4,NA,f,TRUE,FALSE
11,1,notimpression,noteven,1,6,53,f,TRUE,TRUE
14,0.24,notview,whynot,12,6,53,f,TRUE,TRUE
17,0.98,thinknot,noteven,5,6,53,f,TRUE,TRUE
20,1,wrong,whynot,3,6,53,f,TRUE,TRUE
23,1,like,neither,6,6,53,f,TRUE,TRUE
26,0.97,disagree,noteven,2,6,53,f,TRUE,TRUE
29,0.17,notopinion,neither,10,6,53,f,TRUE,TRUE
32,0.85,asif,whynot,8,6,53,f,TRUE,TRUE
35,1,notbelieve,neither,14,6,53,f,TRUE,TRUE
38,0.97,notfeeling,neither,15,6,53,f,TRUE,TRUE
41,1,rumor,noteven,4,6,53,f,TRUE,TRUE
44,0.99,notthink,whynot,13,6,53,f,TRUE,TRUE
47,1,doubt,noteven,11,6,53,f,TRUE,TRUE
50,1,lie,neither,9,6,53,f,TRUE,TRUE
53,0.15,think,whynot,7,6,53,f,TRUE,TRUE
11,0.31,asif,neither,7,5,22,f,TRUE,TRUE
14,0.54,thinknot,whynot,5,5,22,f,TRUE,TRUE
17,0.12,notfeeling,whynot,9,5,22,f,TRUE,TRUE
20,0.38,rumor,noteven,13,5,22,f,TRUE,TRUE
23,0.1,notimpression,noteven,10,5,22,f,TRUE,TRUE
26,0.76,notbelieve,whynot,14,5,22,f,TRUE,TRUE
29,0.69,doubt,neither,8,5,22,f,TRUE,TRUE
32,0.69,lie,noteven,11,5,22,f,TRUE,TRUE
35,0.29,notopinion,whynot,12,5,22,f,TRUE,TRUE
38,0.25,wrong,neither,15,5,22,f,TRUE,TRUE
41,0.09,think,whynot,2,5,22,f,TRUE,TRUE
44,0.82,notthink,noteven,1,5,22,f,TRUE,TRUE
47,0.8,disagree,neither,4,5,22,f,TRUE,TRUE
50,0.59,notview,neither,3,5,22,f,TRUE,TRUE
53,0.44,like,noteven,6,5,22,f,TRUE,TRUE
11,0.68,lie,noteven,4,1,19,m,TRUE,TRUE
14,0.73,notthink,whynot,12,1,19,m,TRUE,TRUE
17,0.4,rumor,neither,14,1,19,m,TRUE,TRUE
20,0.31,notview,whynot,15,1,19,m,TRUE,TRUE
23,0.72,like,noteven,2,1,19,m,TRUE,TRUE
26,0.77,wrong,neither,9,1,19,m,TRUE,TRUE
29,0.87,doubt,neither,5,1,19,m,TRUE,TRUE
32,0.38,asif,whynot,10,1,19,m,TRUE,TRUE
35,0.8,thinknot,noteven,8,1,19,m,TRUE,TRUE
38,0.84,notimpression,neither,3,1,19,m,TRUE,TRUE
41,0.72,think,noteven,7,1,19,m,TRUE,TRUE
44,0.9,notbelieve,whynot,1,1,19,m,TRUE,TRUE
47,0.85,disagree,neither,11,1,19,m,TRUE,TRUE
50,0.68,notopinion,whynot,13,1,19,m,TRUE,TRUE
53,0.8,notfeeling,noteven,6,1,19,m,TRUE,TRUE
11,1,thinknot,whynot,5,3,37,f,FALSE,TRUE
14,0.79,notthink,whynot,12,3,37,f,FALSE,TRUE
17,0.5,notimpression,noteven,10,3,37,f,FALSE,TRUE
20,0.94,doubt,noteven,4,3,37,f,FALSE,TRUE
23,0.09,think,noteven,2,3,37,f,FALSE,TRUE
26,0.75,disagree,whynot,7,3,37,f,FALSE,TRUE
29,0,rumor,noteven,9,3,37,f,FALSE,TRUE
32,0,wrong,whynot,1,3,37,f,FALSE,TRUE
35,1,notopinion,neither,11,3,37,f,FALSE,TRUE
38,0.83,lie,whynot,6,3,37,f,FALSE,TRUE
41,0.92,like,neither,8,3,37,f,FALSE,TRUE
44,1,notbelieve,neither,15,3,37,f,FALSE,TRUE
47,1,asif,neither,3,3,37,f,FALSE,TRUE
50,0.52,notview,neither,14,3,37,f,FALSE,TRUE
53,0.93,notfeeling,noteven,13,3,37,f,FALSE,TRUE
11,0.05,like,neither,14,2,23,f,TRUE,TRUE
14,0,think,noteven,5,2,23,f,TRUE,TRUE
17,0.78,disagree,neither,3,2,23,f,TRUE,TRUE
20,1,lie,noteven,9,2,23,f,TRUE,TRUE
23,0.2,asif,whynot,10,2,23,f,TRUE,TRUE
26,0.06,notview,neither,4,2,23,f,TRUE,TRUE
29,0.95,thinknot,neither,11,2,23,f,TRUE,TRUE
32,1,doubt,noteven,15,2,23,f,TRUE,TRUE
35,0.71,notopinion,whynot,2,2,23,f,TRUE,TRUE
38,1,notbelieve,neither,6,2,23,f,TRUE,TRUE
41,1,wrong,noteven,12,2,23,f,TRUE,TRUE
44,0.75,notimpression,noteven,13,2,23,f,TRUE,TRUE
47,0.89,notfeeling,whynot,8,2,23,f,TRUE,TRUE
50,0.09,notthink,whynot,7,2,23,f,TRUE,TRUE
53,0.05,rumor,whynot,1,2,23,f,TRUE,TRUE
